station_name,station_id,latitude,longitude,city,state
"SIDCO Kurichi, Coimbatore - TNPCB",site_5094,10.942451,76.978996,,
"Urban, Chamarajanagar - KSPCB",site_5124,11.55358,76.55521,,
"MD University, Rohtak - HSPCB",site_147,28.52123,76.37138,,
"IESD Banaras Hindu University, Varanasi - UPPCB",site_5468,25.262326,82.995408,,
"Sirifort, Delhi - CPCB",site_119,28.5504249,77.2159377,,
"Corporation Ground, Thrissur - Kerala PCB",site_5390,10.5324,76.2159,,
"Mangala, Bilaspur - NTPC",site_5503,22.08815,82.13737,,
"Civil Lines, Bareilly - UPPCB",site_5628,28.359581,79.414455,,
"Hardev Nagar, Bathinda - PPCB",site_1549,30.233011,74.907758,,
"Chalai Bazaar, Ramanathapuram - TNPCB",site_5625,9.36399,78.831977,,
"Lodhi Road, Delhi - IITM",site_5395,28.588333,77.221667,,
"Worli, Mumbai - MPCB",site_5115,18.9936162,72.8128113,,
"Velachery Res. Area, Chennai - CPCB",site_288,13.0052189,80.2398125,,
"Kandivali East, Mumbai - MPCB",site_5412,19.2058,72.8682,,
"Deen Dayal Nagar, Sagar - MPPCB",site_5269,23.8640158,78.80289321,,
"Sector-2 IMT, Manesar - HSPCB",site_5039,28.360699,76.93609,,
"Manali Village, Chennai - TNPCB",site_5092,13.1662,80.2584,,
"DTU, Delhi - CPCB",site_118,28.7500499,77.1112615,,
"IGI Airport (T3), Delhi - IMD",site_106,28.5627763,77.1180053,,
"Pusa, Delhi - IMD",site_107,28.63611,77.173332,,
"Aya Nagar, Delhi - IMD",site_108,28.4706914,77.1099364,,
"Lodhi Road, Delhi - IMD",site_109,28.5918245,77.2273074,,
"Vasundhara, Ghaziabad - UPPCB",site_144,28.6603346,77.3572563,,
"Sector - 125, Noida - UPPCB",site_153,28.5447608,77.3231257,,
"ITO, Delhi - CPCB",site_117,28.628624,77.24106,,
"CRRI Mathura Road, Delhi - IMD",site_103,28.5512005,77.2735737,,
"North Campus, DU, Delhi - IMD",site_105,28.6573814,77.1585447,,
"IHBAS, Dilshad Garden, Delhi - CPCB",site_114,28.6811736,77.3025234,,
"Sector - 62, Noida - IMD",site_111,28.6245479,77.3577104,,
"Shadipur, Delhi - CPCB",site_113,28.6514781,77.1473105,,
"Mandir Marg, Delhi - DPCC",site_122,28.636429,77.201067,,
"R K Puram, Delhi - DPCC",site_124,28.563262,77.186937,,
"Punjabi Bagh, Delhi - DPCC",site_125,28.674045,77.131023,,
"Vikas Sadan, Gurugram - HSPCB",site_146,28.4501238,77.0263051,,
"Bandra, Mumbai - MPCB",site_168,19.0627,72.84614,,
