station_id,station_name,latitude,longitude,_total_elements,_unique_feature_types,aeroway,amenity,barrier,boundary,building,craft,emergency,healthcare,highway,historic,landuse,leisure,man_made,natural,office,place,power,public_transport,railway,shop,sport,tourism,water,waterway
site_5094,"SIDCO Kurichi, Coimbatore - TNPCB",10.942451,76.978996,22953,6,,"college,fuel",gate,administrative,,,,,"residential,service,tertiary,trunk,unclassified",,industrial,,,,,,,,rail,,,,,
site_5124,"Urban, Chamarajanagar - KSPCB",11.55358,76.55521,13203,1,,,,,,,,,trunk,,,,,,,,,,,,,,,
site_147,"MD University, Rohtak - HSPCB",28.52123,76.37138,905,3,,,,,,,,,unclassified,,,,,,,,"line,tower",,rail,,,,,
site_5468,"IESD Banaras Hindu University, Varanasi - UPPCB",25.262326,82.995408,7604,16,,"atm,bank,bar,bicycle_parking,cafe,community_centre,events_venue,fast_food,hospital,library,music_school,parking,place_of_worship,post_office,restaurant,townhall,university","gate,wall",,"public,residential,school,university",,,"hospital,laboratory","footway,path,residential,rest_area,service,unclassified",city_gate,"aquaculture,farmland,forest,grass,landfill,residential","dance,firepit,garden,park,pitch,stadium,track","water_tower,works","JHMFJHGJG,tree,wood","educational_institution,research","locality,neighbourhood",substation,,,"bathroom_furnishing,motorcycle_repair,supermarket,video_games,weapons","cricket,cricket;athletics;running",hostel,,
site_119,"Sirifort, Delhi - CPCB",28.5504249,77.2159377,11277,18,,"bench,cafe,charging_station,clinic,college,conference_centre,fast_food,fountain,fuel,ice_cream,parking,place_of_worship,restaurant,school,shelter,social_facility,studio,theatre,toilets,university,waste_basket","bollard,city_wall,cycle_barrier,entrance,fence,gate,lift_gate,wall",administrative,"apartments,college,house,residential,roof,school","carpenter,electronics_repair,handicraft,tailor",,clinic,"bus_stop,crossing,footway,path,residential,secondary,secondary_link,service,steps,tertiary,traffic_signals,unclassified",,"civic,commercial,education,grass,residential","dog_park,fitness_centre,golf_course,park,picnic_table,pitch,sports_centre,swimming_pool","antenna,flagpole,mast,surveillance,tower,water_tap",tree,"company,diplomatic,government,lawyer","neighbourhood,suburb","pole,substation",platform,,"art,bakery,beauty,boutique,clothes,electrical,hairdresser,jewelry,laundry,pastry,tea,toys","basketball,cricket,soccer,squash;badminton,tennis,volleyball","gallery,museum",,
site_5390,"Corporation Ground, Thrissur - Kerala PCB",10.5324,76.2159,13435,20,,"arts_centre,atm,bank,bureau_de_change,bus_station,cafe,charging_station,childcare,cinema,clinic,college,community_hall,courthouse,events_venue,fast_food,food_court,fuel,hospital,library,motorcycle_parking,music_school,parking,parking_space,pharmacy,place_of_worship,police,post_office,prep_school,restaurant,school,social_facility,taxi,theatre,toilets,townhall","city_wall,fence,gate,hedge,lift_gate,wall",local_authority,"apartments,commercial,hospital,house,kindergarten,office,public,school,stadium,temple,terrace,toilets","dressmaker,winery",,"alternative,blood_donation,clinic,hospital,laboratory,pharmacy","bus_stop,busway,crossing,footway,primary,primary_link,residential,secondary,service,steps,tertiary,traffic_signals,unclassified",castle,"commercial,grass,recreation_ground,residential","fitness_centre,garden,park,pitch,playground,sports_centre,stadium,swimming_pool,track","charge_point,mast,surveillance,tower,works","tree,water,wood","architect,company,consulting,educational_institution,employment_agency,financial,government,insurance,private",suburb,substation,"platform,station",,"bakery,beauty,bed,books,clothes,convenience,department_store,electronics,greengrocer,hardware,jewelry,lighting,mall,mobile_phone,motorcycle,motorcycle_repair,musical_instrument,nutrition_supplements,optician,paint,shoes,supermarket,tailor,tea,ticket,tiles,variety_store,wholesale","athletics,fitness;gymnastics,soccer","apartment,artwork,guest_house,hostel,hotel,motel,museum",pond,
site_5503,"Mangala, Bilaspur - NTPC",22.08815,82.13737,16463,13,,"clinic,courthouse,grave_yard,hospital,place_of_worship,social_facility,townhall",gate,,school,,,centre,"primary,residential,secondary,service,tertiary,trunk,unclassified",,"cemetery,residential","garden,park,swimming_pool",water_tower,water,government,square,,,,,,,river,river
site_5628,"Civil Lines, Bareilly - UPPCB",28.359581,79.414455,9535,7,,"blood_bank,bus_station,fast_food,hospital,place_of_worship,restaurant,toilets",,administrative,,,,,"primary,residential,secondary,tertiary,trunk,trunk_link",,,,,,,city,,station,,shoes,,guest_house,,
site_1549,"Hardev Nagar, Bathinda - PPCB",30.233011,74.907758,21005,6,,,,,,,,,"service,trunk",,"industrial,landfill",,works,,,,"line,tower",,"disused,level_crossing,rail",supermarket,,,,
site_5625,"Chalai Bazaar, Ramanathapuram - TNPCB",9.36399,78.831977,29291,16,,"bank,blood_bank,bus_station,cinema,clinic,dentist,hospital,place_of_worship,restaurant,school",wall,administrative,school,,,"clinic,dentist,hospital","living_street,primary,residential,road,secondary,service,tertiary,unclassified",,railway,playground,water_tower,"water,wetland",,town,,"platform,station","buffer_stop,level_crossing,platform,rail,switch","bakery,jewelry,supermarket",,hotel,pond,
