station_id,original_station_id,station_name,latitude,longitude,_total_elements,_unique_feature_types,aeroway,amenity,barrier,boundary,building,craft,emergency,healthcare,highway,historic,industrial,landuse,leisure,man_made,military,natural,office,place,power,public_transport,railway,shop,sport,tourism,water,waterway
TN005,site_5094,"SIDCO Kurichi, Coimbatore - TNPCB",10.942451,76.978996,22953,6,,"college,fuel",gate,administrative,,,,,"residential,service,tertiary,trunk,unclassified",,,industrial,,,,,,,,,rail,,,,,
DL034,site_119,"Sirifort, Delhi - CPCB",28.5504249,77.2159377,11277,18,,"bench,cafe,charging_station,clinic,college,conference_centre,fast_food,fountain,fuel,ice_cream,parking,place_of_worship,restaurant,school,shelter,social_facility,studio,theatre,toilets,university,waste_basket","bollard,city_wall,cycle_barrier,entrance,fence,gate,lift_gate,wall",administrative,"apartments,college,house,residential,roof,school","carpenter,electronics_repair,handicraft,tailor",,clinic,"bus_stop,crossing,footway,path,residential,secondary,secondary_link,service,steps,tertiary,traffic_signals,unclassified",,,"civic,commercial,education,grass,residential","dog_park,fitness_centre,golf_course,park,picnic_table,pitch,sports_centre,swimming_pool","antenna,flagpole,mast,surveillance,tower,water_tap",,tree,"company,diplomatic,government,lawyer","neighbourhood,suburb","pole,substation",platform,,"art,bakery,beauty,boutique,clothes,electrical,hairdresser,jewelry,laundry,pastry,tea,toys","basketball,cricket,soccer,squash;badminton,tennis,volleyball","gallery,museum",,
DL017,site_5395,"Lodhi Road, Delhi - IITM",28.588333,77.221667,12472,20,,"arts_centre,atm,bank,bar,bicycle_rental,cafe,charging_station,community_centre,drinking_water,fast_food,food_court,fountain,hospital,language_school,library,marketplace,parking,pharmacy,place_of_worship,police,post_office,restaurant,school,taxi,theatre,toilets,waste_basket","fence,gate,kerb,lift_gate,wall",administrative,"apartments,commercial,greenhouse,house,office,residential,roof",sculptor,fire_hydrant,,"bus_stop,crossing,elevator,footway,living_street,residential,secondary,service,steps,street_lamp,tertiary,traffic_signals,unclassified","memorial,monument,tomb",,"commercial,cultural_centre,forest,grass,institutional,religious,residential","garden,outdoor_seating,park,pitch,swimming_pool","mast,pumping_station,surveillance,tower,water_tap",,"tree,tree_row,water","association,company,diplomatic,government,ngo",neighbourhood,generator,platform,,"bakery,bicycle,books,convenience,dairy,florist",tennis,"artwork,attraction",pond,
MH014,site_5115,"Worli, Mumbai - MPCB",18.9936162,72.8128113,312159,18,,"cafe,crematorium,fast_food,fuel,planetarium,school",gate,"administrative,administrative_cooperation,local_authority","apartments,commercial,construction,office,residential,roof",,,,"bus_stop,crossing,cycleway,footway,motorway,primary,primary_link,residential,secondary,service,steps,traffic_signals,turning_circle",,,"commercial,grass,industrial,recreation_ground,residential","garden,park,stadium,swimming_pool","breakwater,bridge,chimney,pier,reservoir_covered,wastewater_plant,water_works",,"bare_rock,coastline,tree,water","financial,government","island,locality,neighbourhood,sea,state",,"platform,station,stop_area,stop_position","station,stop,subway",mall,"horse_racing,swimming","attraction,museum",canal,"drain,lock_gate"
TN004,site_288,"Velachery Res. Area, Chennai - CPCB",13.0052189,80.2398125,12305,17,,"atm,bench,bicycle_parking,cafe,college,drinking_water,hospital,library,parking,parking_space,place_of_worship,restaurant,theatre,toilets,university","block,gate,hedge,lift_gate,median,wall","administrative,national_park,water_distribution","apartments,house,office,residential,temple,university",,,hospital,"bus_stop,crossing,footway,living_street,path,primary,primary_link,residential,secondary,service,track,traffic_signals",,,"commercial,grass,hospital,reservoir,retail","garden,park,pitch,playground","storage_tank,surveillance",,"water,wood",,neighbourhood,,"platform,stop_position",,"stationery,tea","cricket,racquet,tennis","apartment,artwork,attraction,zoo","lake,pond",stream
TN002,site_5092,"Manali Village, Chennai - TNPCB",13.1662,80.2584,3433,11,,"bus_station,clinic,college,dentist,hospital,pharmacy,restaurant","gate,wall","administrative,water_distribution",,,,"centre,clinic,dentist,hospital,pharmacy","living_street,path,residential,secondary,service,tertiary",,,"industrial,residential",resort,,,water,,"neighbourhood,suburb",,station,,,,,"lake,pond,reservoir",
DL008,site_118,"DTU, Delhi - CPCB",28.7500499,77.1112615,5545,12,,"conference_centre,university",gate,"administrative,political",,,,,"footway,path,residential,secondary,service,tertiary",,,"industrial,recreation_ground,residential","park,pitch,sports_centre","flagpole,mast",,"tree_row,water",,locality,,,,,"badminton,tennis",hostel,lake,
DL012,site_106,"IGI Airport (T3), Delhi - IMD",28.5627763,77.1180053,5377,13,"aerodrome,apron,gate,hangar,holding_position,jet_bridge,navigationaid,parking_position,runway,stopway,taxiway,terminal,windsock","atm,cafe,parking",wall,administrative,,,,,"bus_stop,elevator,footway,residential,service,tertiary,tertiary_link",,,"grass,military,residential",,mast,,,lost_property,,,"platform,station,stop_area,stop_position","construction,proposed,station,stop,subway,subway_entrance","coffee,ticket",,hotel,,drain
DL030,site_107,"Pusa, Delhi - IMD",28.63611,77.173332,12764,13,,"bus_station,clinic,college,fire_station,fuel,hospital,research_institute,school","bollard,gate,lift_gate","administrative,political","auditorium,commercial,industrial",,,hospital,"bus_stop,footway,path,residential,secondary,secondary_link,service,steps,tertiary,tertiary_link,traffic_signals",,,"education,residential","common,nature_reserve,park",water_tower,,scrub,"educational_institution,government",,,"platform,station",,convenience,,,,
DL004,site_108,"Aya Nagar, Delhi - IMD",28.4706914,77.1099364,16015,6,,,"gate,lift_gate,wall","administrative,political",,,,,"bus_stop,path,primary,primary_link,residential,secondary,service,track,traffic_signals",,,"forest,residential",park,,,,,,,platform,,,,,,
DL017,site_109,"Lodhi Road, Delhi - IMD",28.5918245,77.2273074,15439,20,,"arts_centre,atm,charging_station,college,community_centre,conference_centre,food_court,fountain,fuel,parking,place_of_worship,police,restaurant,school,theatre,toilets,waste_basket","fence,gate,lift_gate,wall,wicket_gate",administrative,"apartments,commercial,residential,roof,school",sculptor,fire_hydrant,,"bus_stop,crossing,elevator,footway,residential,secondary,secondary_link,service,steps,street_lamp,tertiary,traffic_signals","aircraft,memorial",,"commercial,cultural_centre,grass,residential","fitness_station,garden,outdoor_seating,park,pitch,playground,swimming_pool,track","flagpole,surveillance,tower",,"tree,tree_row,water","association,company,diplomatic,government,ngo",neighbourhood,,platform,subway,,"basketball,cricket,fitness,running,skateboard,tennis,volleyball",hostel,pond,drain
