StationId,StationName,City,State,Status,normalized_name
BR008,"Muradpur, Patna - BSPCB",Patna,Bihar,Active,"muradpur, patna - bspcb"
DL006,"Burari Crossing, Delhi - IMD",Delhi,Delhi,Inactive,"burari crossing, delhi - imd"
DL011,"East Arjun Nagar, Delhi - CPCB",Delhi,Delhi,Active,"east arjun nagar, delhi - cpcb"
DL021,"NSIT Dwarka, Delhi - CPCB",Delhi,Delhi,Active,"nsit dwarka, delhi - cpcb"
HR002,"Arya Nagar, Bahadurgarh - HSPCB",Bahadurgarh,Haryana,Active,"arya nagar, bahadurgarh - hspcb"
HR004,"H.B. Colony, Bhiwani - HSPCB",Bhiwani,Haryana,Active,"h.b. colony, bhiwani - hspcb"
HR005,"Municipal Corporation Office, Dharuhera - HSPCB",Dharuhera,Haryana,Active,"municipal corporation office, dharuhera - hspcb"
HR012,"Sector-51, Gurugram - HSPCB",Gurugram,Haryana,Active,"sector-51, gurugram - hspcb"
HR016,"Police Lines, Jind - HSPCB",Jind,Haryana,Active,"police lines, jind - hspcb"
HR017,"Rishi Nagar, Kaithal - HSPCB",Kaithal,Haryana,Active,"rishi nagar, kaithal - hspcb"
HR018,"Sector-12, Karnal - HSPCB",Karnal,Haryana,Active,"sector-12, karnal - hspcb"
HR023,"Shyam Nagar, Palwal - HSPCB",Palwal,Haryana,Active,"shyam nagar, palwal - hspcb"
HR028,"Murthal, Sonipat - HSPCB",Sonipat,Haryana,Active,"murthal, sonipat - hspcb"
KA002,"BTM Layout, Bengaluru - CPCB",Bengaluru,Karnataka,Active,"btm layout, bengaluru - cpcb"
KA004,"Bapuji Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,Active,"bapuji nagar, bengaluru - kspcb"
KA006,"Hebbal, Bengaluru - KSPCB",Bengaluru,Karnataka,Active,"hebbal, bengaluru - kspcb"
KA007,"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,Active,"hombegowda nagar, bengaluru - kspcb"
KA008,"Jayanagar 5th Block, Bengaluru - KSPCB",Bengaluru,Karnataka,Active,"jayanagar 5th block, bengaluru - kspcb"
KA009,"Peenya, Bengaluru - CPCB",Bengaluru,Karnataka,Active,"peenya, bengaluru - cpcb"
KA011,"Silk Board, Bengaluru - KSPCB",Bengaluru,Karnataka,Active,"silk board, bengaluru - kspcb"
KA013,"Chikkaballapur Rural, Chikkaballapur - KSPCB",Chikkaballapur,Karnataka,,"chikkaballapur rural, chikkaballapur - kspcb"
KA016,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",Kalaburagi,Karnataka,,"lal bahadur shastri nagar, kalaburagi - kspcb"
KA018,"Vijay Nagar, Ramanagara - KSPCB",Ramanagara,Karnataka,,"vijay nagar, ramanagara - kspcb"
KL007,"Kariavattom, Thiruvananthapuram - Kerala PCB",Thiruvananthapuram,Kerala,Active,"kariavattom, thiruvananthapuram - kerala pcb"
MH022,"Pimpleshwar Mandir, Thane - MPCB",Thane,Maharashtra,,"pimpleshwar mandir, thane - mpcb"
ML001,"Lumpyngngad, Shillong - Meghalaya PCB",Shillong,Meghalaya,Active,"lumpyngngad, shillong - meghalaya pcb"
MP014,"Bandhavgar Colony, Satna - Birla Cement",Satna,Madhya Pradesh,,"bandhavgar colony, satna - birla cement"
TG002,"Central University, Hyderabad - TSPCB",Hyderabad,Telangana,Active,"central university, hyderabad - tspcb"
TN001,"Alandur Bus Depot, Chennai - CPCB",Chennai,Tamil Nadu,Active,"alandur bus depot, chennai - cpcb"
UP012,"Central School, Lucknow - CPCB",Lucknow,Uttar Pradesh,Active,"central school, lucknow - cpcb"
UP024,"Sector-1, Noida - UPPCB",Noida,Uttar Pradesh,,"sector-1, noida - uppcb"
